Name,X,Y,A,B,C,D,Signal
3825,-112.93745,38.6533,0.35867524,0.3791099,0.45786586,0.090201974,A
3826,-111.37078,42.95936,0.36373466,0.3429644,0.121609196,0.21335068,B
3827,-112.44079,40.0755,0.34803355,0.41277897,0.20450863,0.08429323,B
3828,-113.01885,38.41552,0.39919376,0.37259704,0.46270353,0.107088,A
3829,-113.01889,38.41557,0.40855873,0.37113798,0.48290062,0.11038418,A
3830,-112.44384,40.068,0.34970826,0.4099528,0.21239507,0.08353051,B
3831,-112.03522,41.198,0.30443388,0.50680816,0.5523615,0.092023395,A
3832,-113.04718,38.3358,0.43637985,0.35791615,0.4553119,0.11577914,A
3833,-113.07523,38.25358,0.44383806,0.35424474,0.41391304,0.12494065,A
3834,-113.0619,38.29469,0.39878586,0.3639361,0.41741925,0.115042575,A
3835,-112.08411,41.06939,0.32722318,0.5384444,0.48180315,0.08463473,B
3836,-112.44106,40.08328,0.35108754,0.4143092,0.20482472,0.08449727,B
3837,-111.12497,43.60106,0.18739656,0.23987365,0.2865079,0.46179506,D
3838,-113.07523,38.25997,0.4443812,0.35411352,0.41624376,0.124254085,A
3839,-112.0005,41.30161,0.29572737,0.5082604,0.5532179,0.056954857,A
3840,-113.07523,38.26191,0.39952612,0.36615086,0.39903408,0.11737618,A
3841,-111.37189,42.96936,0.3521817,0.33779457,0.113147564,0.21295354,B
3842,-112.44801,40.06939,0.34832337,0.40888974,0.21291405,0.08157934,B
3843,-112.44079,40.09022,0.3206235,0.4216167,0.19693753,0.081264205,B
3844,-113.06579,38.29469,0.43815362,0.35557497,0.4281169,0.11938296,A
3845,-111.85355,41.70438,0.21778776,0.38187706,0.5725237,0.13602014,A
3846,-112.43579,40.10995,0.3482367,0.41654733,0.2034353,0.08808484,B
3847,-113.03662,38.38691,0.43390006,0.36329198,0.46653852,0.11016687,A
3848,-111.85633,41.7016,0.21855773,0.3829808,0.573002,0.13519943,A
3849,-112.2205,40.71161,0.35562697,0.52044815,0.18628766,0.15061752,B
3850,-112.25745,40.60994,0.3203661,0.47998065,0.18785176,0.14286785,B
3851,-113.03746,38.38691,0.42821804,0.36394614,0.46548918,0.10962739,A
3852,-112.26272,40.59717,0.35309738,0.463768,0.19373661,0.15881261,B
3853,-112.24356,40.6505,0.32786402,0.50111836,0.19195265,0.13375692,B
3854,-113.05773,38.32858,0.4212585,0.35562947,0.4584324,0.11694535,A
3855,-112.01244,41.2855,0.2853621,0.5200378,0.5534247,0.05309994,A
3856,-112.26406,40.59635,0.3719934,0.46143144,0.19493537,0.16243258,B
3857,-112.01248,41.28554,0.28621116,0.519928,0.55337083,0.05312607,A
3858,-112.27522,40.56633,0.32585442,0.44587052,0.18251078,0.17000188,B
3859,-112.44773,40.08883,0.3494386,0.41227257,0.20531425,0.08248119,B
3860,-112.44273,40.10383,0.347721,0.41372514,0.20386247,0.08591074,B
3861,-112.26356,40.603,0.3694309,0.4652857,0.20017871,0.15845883,B
3862,-113.03718,38.39691,0.38740274,0.3721076,0.45287216,0.104164824,A
3863,-112.43926,40.11445,0.32663077,0.42335746,0.19891642,0.08425335,B
3864,-112.99609,38.51856,0.3608598,0.37775537,0.44672388,0.101080224,A
3865,-112.45356,40.07495,0.35012057,0.40763542,0.21352553,0.080336116,B
3866,-111.77467,41.93132,0.26328072,0.35603493,0.48348543,0.14551724,A
3867,-112.05355,41.1805,0.29663384,0.51255107,0.5379159,0.09164943,A
3868,-113.08468,38.2583,0.4346772,0.35491255,0.41068548,0.12148956,A
3869,-112.06078,41.16133,0.29757446,0.5143825,0.5299393,0.09395893,A
3870,-112.06605,41.14717,0.3105018,0.51701194,0.52286696,0.09228797,A
3871,-112.45523,40.07161,0.31913754,0.40976962,0.2076358,0.077033386,B
3872,-112.26606,40.59883,0.353352,0.46604484,0.19235225,0.15574856,B
3873,-112.45551,40.07161,0.33325693,0.40808305,0.20869084,0.07796276,B
3874,-112.26634,40.59883,0.35925025,0.46350893,0.1932082,0.15695985,B
3875,-112.28442,40.54967,0.3122311,0.43789324,0.17228295,0.17236449,B
3876,-112.51856,39.89634,0.38871622,0.35947418,0.20311128,0.09592638,B
3877,-111.83522,41.77465,0.24448696,0.3831121,0.55409217,0.13109265,A
3878,-112.26745,40.59883,0.35992613,0.46331596,0.19385214,0.1577381,B
3879,-111.89078,41.62604,0.29488117,0.37374794,0.61305755,0.16194306,A
3880,-111.8905,41.62688,0.30256557,0.36942142,0.6305918,0.16586001,A
3881,-112.58829,39.70134,0.46451548,0.37097612,0.33157384,0.07930833,A
3882,-112.24106,40.673,0.32447094,0.51386106,0.18978311,0.13437936,B
3883,-111.84458,41.75093,0.2420538,0.38864598,0.5701157,0.1314582,A
3884,-112.00883,41.30828,0.30116692,0.50859916,0.5645826,0.05942397,A
3885,-112.00888,41.30824,0.30214334,0.5084369,0.56459415,0.05947674,A
3886,-112.26856,40.59772,0.34067133,0.46583617,0.18934362,0.15441415,B
3887,-112.04744,41.20411,0.258514,0.52539384,0.5268553,0.076415844,B
3888,-112.07161,41.13883,0.34338972,0.5172577,0.53515255,0.09069521,A
3889,-112.09522,41.07494,0.38348132,0.5331766,0.50636685,0.083106674,A
3890,-112.02411,41.26883,0.29872233,0.5198002,0.5403856,0.052814323,A
3891,-111.83698,41.77363,0.26740468,0.38437507,0.5695528,0.13497904,A
3892,-111.85106,41.73715,0.26900378,0.37092373,0.60778725,0.13999398,A
